yearID	weekIndex	rank	appID	uniqueInstall	UU	useRate	totalDuration	avgDuration	dayCounts	genreID
Y1	1	1	N0001	7027982	6690166	95.19	1314483816	196.48	4.1	G01
Y1	1	2	N0002	8979953	6012020	66.95	598676952	99.58	4.09	G02
Y1	1	3	N0003	8527132	5475405	64.21	818737310	149.53	4.33	G03
Y1	1	4	N0004	5527188	2617074	47.35	116433622	44.49	3.02	G03
Y1	1	5	N0005	2733015	1920640	70.28	175892211	91.58	3.44	G03
Y1	1	6	N0006	2540458	1902985	74.91	876533921	460.61	4.95	G04
Y1	1	7	N0007	2430829	1170749	48.16	70678117	60.37	2.67	G05
Y1	1	8	N0008	1571758	1071266	68.16	144299530	134.7	3.08	G05
Y1	1	9	N0009	1327545	1010275	76.1	74629014	73.87	3.31	G06
Y1	1	10	N0010	3267651	939761	28.76	18785822	19.99	2.67	G03
Y1	1	11	N0011	1184637	925796	78.15	222533585	240.37	5.15	G04
Y1	1	12	N0012	1159154	894668	77.18	97572492	109.06	2.62	G04
Y1	1	13	N0013	1149194	799801	69.6	30864321	38.59	3.34	G05
Y1	1	14	N0014	1051660	737568	70.13	20939556	28.39	1.95	G03
Y1	1	15	N0015	1686259	577066	34.22	18189120	31.52	2.73	G03
Y1	1	16	N0016	742870	568086	76.47	42470109	74.76	3.4	G03
Y1	1	17	N0017	560167	535452	95.59	150044359	280.22	3.95	G04
Y1	1	18	N0018	734856	522788	71.14	48023306	91.86	3.56	G07
Y1	1	19	N0019	618093	472099	76.38	36299692	76.89	2.82	G05
Y1	1	20	N0020	715645	442736	61.87	12901327	29.14	1.6	G03
Y1	1	21	N0021	587576	417836	71.11	157820836	377.71	6.04	G04
Y1	1	22	N0022	959411	415186	43.28	12135887	29.23	1.66	G05
Y1	1	23	N0023	463901	413549	89.15	13973821	33.79	4.91	G07
Y1	1	24	N0024	979062	369619	37.75	12153073	32.88	1.92	G03
Y1	1	25	N0025	400532	363815	90.83	13373839	36.76	1.68	G03
Y1	1	26	N0026	1073934	354241	32.99	6411762	18.1	1.64	G05
Y1	1	27	N0027	526007	326565	62.08	23362460	71.54	3.43	G03
Y1	1	28	N0028	379454	324843	85.61	2472055	7.61	1.09	G05
Y1	1	29	N0029	694199	313643	45.18	4842648	15.44	2.23	G03
Y1	1	30	N0030	1249795	305580	24.45	5283478	17.29	1.69	G08
Y1	1	31	N0031	334163	292639	87.57	7593982	25.95	1.77	G04
Y1	1	32	N0032	431342	285992	66.3	101501421	354.91	3.59	G06
Y1	1	33	N0033	496872	285608	57.48	12643866	44.27	1.78	G03
Y1	1	34	N0034	429649	263030	61.22	65149901	247.69	4	G09
Y1	1	35	N0035	423258	250037	59.07	14079583	56.31	2.16	G04
Y1	1	36	N0036	530366	237581	44.8	6348164	26.72	2.08	G03
Y1	1	37	N0037	368606	235134	63.79	31858306	135.49	4.87	G03
Y1	1	38	N0038	543738	225842	41.54	20436443	90.49	2.68	G02
Y1	1	39	N0039	311290	223343	71.75	27118307	121.42	2.02	G05
Y1	1	40	N0040	342150	214961	62.83	77471944	360.4	4.31	G04
Y1	1	41	N0041	658987	214501	32.55	1746038	8.14	1.36	G01
Y1	1	42	N0042	468538	205329	43.82	3504966	17.07	1.94	G07
Y1	1	43	N0043	253360	202397	79.89	13220572	65.32	1.98	G03
Y1	1	44	N0044	357127	198981	55.72	19669272	98.85	1.9	G10
Y1	1	45	N0045	262973	197438	75.08	6888612	34.89	2.47	G05
Y1	1	46	N0046	349705	196930	56.31	7778735	39.5	2.28	G01
Y1	1	47	N0047	863393	191360	22.16	3471270	18.14	1.34	G05
Y1	1	48	N0048	208923	191201	91.52	2632838	13.77	2.03	G05
Y1	1	49	N0049	259305	188715	72.78	1158710	6.14	1.42	G04
Y1	1	50	N0050	760628	183242	24.09	1346829	7.35	1.68	G07
Y1	1	51	N0051	251806	179321	71.21	4099278	22.86	1.75	G05
Y1	1	52	N0052	314053	177371	56.48	19828304	111.79	3.55	G04
Y1	1	53	N0053	528634	177233	33.53	177233	1	1.07	G07
Y1	1	54	N0054	182926	171937	93.99	4358603	25.35	5.02	G07
Y1	1	55	N0055	270397	170723	63.14	90389292	529.45	4.68	G04
Y1	1	56	N0056	498204	170544	34.23	4671200	27.39	1.58	G05
Y1	1	57	N0057	281234	169896	60.41	12692930	74.71	2.86	G04
Y1	1	58	N0058	425945	169717	39.84	11179259	65.87	1.51	G01
Y1	1	59	N0059	522744	167657	32.07	12788876	76.28	2.34	G03
Y1	1	60	N0060	381778	163461	42.82	6785266	41.51	1.43	G01
Y1	1	61	N0061	423835	160674	37.91	3415929	21.26	1.77	G02
Y1	1	62	N0062	507034	158977	31.35	6007741	37.79	1.22	G04
